quoteText,quoteAuthor,quoteLink
"Делать то, что доставляет удовольствие, — значит быть свободным. ",Вольтер,http://forismatic.com/ru/289beb60fe/
Осмельтесь мыслить самостоятельно.,Вольтер ,http://forismatic.com/ru/3b19259dde/
"Благоразумен тот, кто не печалится о том, чего не имеет, и, напротив, рад тому, что имеет.",Демокрит,http://forismatic.com/ru/08fc2ba306/
"Все прекрасное прекрасно до тех пор, пока ты им не обладаешь. ",Джек Лондон,http://forismatic.com/ru/e035f06390/
"Сердиться на людей означает считать их поступки чем-то важным. Поступки людей не могут быть настолько важными, чтобы отвести на задний план единственную жизненно важную альтернативу: наши неизменные встречи с бесконечностью.",Карлос Кастанеда,http://forismatic.com/ru/ba54d11936/
"Дом мужчины — его крепость, но только снаружи. Внутри это чаще всего детская комната. ",Клэр Люс,http://forismatic.com/ru/3506f31198/
"Истинное знание состоит в том, чтобы знать, что мы знаем то, что знаем, и не знаем того, чего не знаем. ",Конфуций,http://forismatic.com/ru/0b5ca55f74/
"Лучший ответ безумцу — молчание. Каждое слово ответа отскочит от безумца на тебя. Отвечать обидой на обиду — все равно, что подкидывать дров в огонь.",Лев Толстой,http://forismatic.com/ru/bd9f553007/
"Человек должен быть всегда радостным. Если радость кончается, ищи, в чём ошибся.",Лев Толстой,http://forismatic.com/ru/80d3a72493/
"Жизнь богаче, если не увеличивать ее скорость. ",Махатма Ганди,http://forismatic.com/ru/8f033b6bbc/
"Непоколебимая сила воли совершает чудеса, но лишь в том случае, когда имеет определенную цель и определенную задачу. ",Мильфорд Прентис,http://forismatic.com/ru/a433b7b4ad/
"Перестань думать, как бы получить любовь, и начинай её отдавать. Отдавая, ты получаешь. Иного пути нет...",ОШО,http://forismatic.com/ru/5cb2eee8a6/
Во всяком творении гения мы узнаем собственные отвергнутые мысли. ,Ральф Эмерсон,http://forismatic.com/ru/a0785effd0/
"Жизнь коротка, чтобы тратить ее на вещи, которые не приносят удовольствия. Если есть голова на плечах и достаточно задора в сердце, любая цель будет по силам. Если что-то нравится — делай. Не нравится — бросай не раздумывая. ",Ричард Брэнсон,http://forismatic.com/ru/fd76db4a22/
"Наши эмоции — мощная сила. Если их не контролировать, они становятся самореализующимися пророчествами. ",Роберт Кийосаки,http://forismatic.com/ru/27380faeec/
"Проигравшие используют жизненные ситуации для оправдания неудач, а победители используют жизненные ситуации как причины преуспеть. ",Роберт Кийосаки,http://forismatic.com/ru/f9cbe357b8/
"Достиг вершины тот, кто знает, чему радоваться. ",Сенека,http://forismatic.com/ru/15b7e88413/
"Жизнь долга, если она полна... Будем измерять ее поступками, а не временем.",Сенека Луций Анней,http://forismatic.com/ru/4803255eeb/
Нельзя иметь все. Куда вы все это положите? ,Стивен Райт,http://forismatic.com/ru/17c4d2004c/
"Говорят: «Сделай шаг навстречу Ему, и Он подойдет к тебе на 10 шагов». Но истина состоит в том, что Бог всегда с тобой.",Хадис,http://forismatic.com/ru/dbb9d55cfa/
"Есть люди, которые не совершают ошибок. Это те, за кого думают другие. ",Хенрик Ягодзиньский,http://forismatic.com/ru/ab2d82c434/
"Красивые девушки и женщины редко бывают одни, зато часто они бывают одинокими. ",Хенрик Ягодзиньский,http://forismatic.com/ru/745f836f33/
"Одни века сменяют другие, но действия происходят лишь в настоящем; люди кишат на земле, на море и в воздухе, но все, что реально совершается, совершается лишь со мною… ",Хорхе Луис Борхес,http://forismatic.com/ru/be5200b8c1/
"Предаваясь думам о правде, не страшись трудностей и не отступай перед ним. Стоит отступить перед ними хотя бы на шаг, и ты будешь отброшен назад за тысячу гор.",Хун Цзычен,http://forismatic.com/ru/190ddf7fdb/
"Думайте только об успехе и воображайте, как в совершенстве исполняете каждое движение. ",Чак Норрис,http://forismatic.com/ru/c1b9de0b91/
"Когда я готов доверять и следовать своей энергии, она ведет меня к людям, у которых я могу многому научиться. Энергия всегда ведет меня к ситуациям, в которых мое обучение будет самым интенсивным. ",Шакти Гавэйн,http://forismatic.com/ru/0b7061f12f/
"Человек не выше и не ниже других: все, что существует в подлунном мире, подчинено одному и тому же закону и имеет одинаковую судьбу.",Экклезиаст,http://forismatic.com/ru/5973a08b0c/
"Уменье что-то скрыть, порой, ценней уменья говорить. ",Юсуф Баласагурский,http://forismatic.com/ru/4b227cf38f/
